unitid,year,fips,ftpt,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
100654,2020,1,1,0.54,911.0,1688.0,2.0,1686.0
100654,2020,1,2,0.33,2.0,6.0,0.0,6.0
100654,2020,1,99,0.54,913.0,1694.0,2.0,1692.0
100663,2020,1,1,0.86,1982.0,2294.0,0.0,2294.0
100663,2020,1,2,0.48,20.0,42.0,0.0,42.0
100663,2020,1,99,0.86,2002.0,2336.0,0.0,2336.0
100690,2020,1,1,0.5,1.0,2.0,0.0,2.0
100690,2020,1,2,,,,,
100690,2020,1,99,0.5,1.0,2.0,0.0,2.0
100706,2020,1,1,0.82,1218.0,1489.0,0.0,1489.0
100706,2020,1,2,0.25,2.0,8.0,0.0,8.0
100706,2020,1,99,0.81,1220.0,1497.0,0.0,1497.0
100724,2020,1,1,0.62,619.0,1000.0,2.0,998.0
100724,2020,1,2,0.05,1.0,19.0,0.0,19.0
100724,2020,1,99,0.61,620.0,1019.0,2.0,1017.0
100751,2020,1,1,0.87,5873.0,6734.0,1.0,6733.0
100751,2020,1,2,0.57,17.0,30.0,0.0,30.0
100751,2020,1,99,0.87,5890.0,6764.0,1.0,6763.0
100760,2020,1,1,0.59,194.0,328.0,0.0,328.0
100760,2020,1,2,0.38,26.0,68.0,0.0,68.0
100760,2020,1,99,0.56,220.0,396.0,0.0,396.0
100812,2020,1,1,,,,,
100812,2020,1,2,,,,,
100812,2020,1,99,,0.0,0.0,0.0,0.0
100830,2020,1,1,0.7,419.0,602.0,1.0,601.0
100830,2020,1,2,0.33,8.0,24.0,0.0,24.0
100830,2020,1,99,0.68,427.0,626.0,1.0,625.0
100858,2020,1,1,0.92,4377.0,4761.0,2.0,4759.0
100858,2020,1,2,0.76,34.0,47.0,2.0,45.0
100858,2020,1,99,0.92,4411.0,4808.0,4.0,4804.0
100937,2020,1,1,0.8,264.0,332.0,0.0,332.0
100937,2020,1,2,,,,,
100937,2020,1,99,0.8,264.0,332.0,0.0,332.0
101028,2020,1,1,0.55,144.0,260.0,0.0,260.0
101028,2020,1,2,0.36,24.0,67.0,0.0,67.0
101028,2020,1,99,0.51,168.0,327.0,0.0,327.0
101116,2020,1,1,0.6,6.0,10.0,0.0,10.0
101116,2020,1,2,1.0,1.0,1.0,0.0,1.0
101116,2020,1,99,0.64,7.0,11.0,0.0,11.0
101143,2020,1,1,0.6,214.0,359.0,0.0,359.0
101143,2020,1,2,0.36,16.0,45.0,0.0,45.0
101143,2020,1,99,0.57,230.0,404.0,0.0,404.0
101161,2020,1,1,0.54,728.0,1336.0,0.0,1336.0
101161,2020,1,2,0.29,60.0,209.0,0.0,209.0
